IMPUTATION;ANNEE;CATEGORIE;TITRE;ADRESSE URL;icon
OPEN SOURCE;2015;SophiaConf 2015;J. Holtzer (SopraSteria) - REX sur l’Internet des objets avec SopraSteria;https://www.youtube.com/watch?v=G5vaNEDtR1g;
OPEN SOURCE;2015;SophiaConf 2015;L. Gomez C. Hébert (SAP Labs France) - Le Cloud, nouveau fort de Vauban?;https://www.youtube.com/watch?v=r-ZUCnhM3eE;
OPEN SOURCE;2015;SophiaConf 2015;N. Cameron (Amadeus) - Securing large development lifecycles in a big company;https://www.youtube.com/watch?v=RLeeC3MwMRY;
OPEN SOURCE;2015;SophiaConf 2015;O. Tavard (France Labs) - Les Big Data Science facile par l’angle de la fouille;https://www.youtube.com/watch?v=uhkM3aPvH28;
OPEN SOURCE;2015;SophiaConf 2015;P. Baudelle (HP) - Du SQL par-dessus Hadoop avec le projet Trafodion;https://www.youtube.com/watch?v=foxrQWA5Z8o;
OPEN SOURCE;2015;SophiaConf 2015;P. Flamand (Telecom Valley) - SoFAB a 8 mois : le bébé est-il beau ?;https://www.youtube.com/watch?v=I2T-Bp7Sm2Y;
OPEN SOURCE;2015;SophiaConf 2015;P. Staccini (UNS) - Les Data Sciences pour la santé: Qui, Quoi, Comment ?;https://www.youtube.com/watch?v=SdM10b2CASU;
OPEN SOURCE;2015;SophiaConf 2015;P-F. Poli (Amadeus) - Mise en oeuvre Docker et Kubernetes chez Amadeus;https://www.youtube.com/watch?v=zSa9On-rveI;
OPEN SOURCE;2015;SophiaConf 2015;R. Deconde & P. Alexandre (Orange) - Docker et Mesos;https://www.youtube.com/watch?v=21OaTjv1EPM;
OPEN SOURCE;2015;SophiaConf 2015;projets des makers de SoFAB;https://www.youtube.com/watch?v=TJeAvXg8iIA;
OPEN SOURCE;2015;SophiaConf 2015;S. Abid (Abid Avocats) - L’Internet des objets et le droit français, état des lieux;https://www.youtube.com/watch?v=DcuIvRxmfuA;
OPEN SOURCE;2015;SophiaConf 2015;S. Uyttendaele (Busit) - IoT & objets connectés, comment les connecte-t-on ?;https://www.youtube.com/watch?v=yxVD6aaj19E;
OPEN SOURCE;2015;SophiaConf 2015;N. Grynwald (Nomia Conseils) La marque, l’autre façon de protéger idées & technos;https://www.youtube.com/watch?v=EfAV5IwPuRA;
Communication;2015;;Telecom Valley en 2015;https://www.youtube.com/watch?v=_BCh7YnXPNs;
SOFAB;2016;;Retour sur le #GreenGame II par la Ville de Biot et Telecom Valley;https://www.youtube.com/watch?v=0-oyVPWEo0I;
OPEN SOURCE;2016;Sophia Conf 2016;G. PLASSAT (Ademe) La fabrique des mobilités;https://www.youtube.com/watch?v=Vy-fTXomNCE;
SOFAB;2016;Sophia Conf 2016;TOCS - IOT M2JOB Questions;https://www.youtube.com/watch?v=Ei7fvGORHyI;
SOFAB;2016;Sophia Conf 2016;TOCS - PASSAGER CONNECTE Questions;https://www.youtube.com/watch?v=jXfMkHIDVf4;
SOFAB;2016;Sophia Conf 2016;TOCS - SELFBERRY Questions;https://www.youtube.com/watch?v=CZSeFa5kVR4;
